Client_ID,Description,Fraud_Label,Branch
C0001,"This claim is about water damage we discovered on Monday morning in our home in Barcelona. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. Fenix Restorations provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. I understand an inspection or call might be required; Marta from our side can also speak to what happened. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF.",0,Home
C0002,"I'm reporting a traffic incident that happened on Friday evening near Alicante on the A-3. My car drifted slightly when a strong wind came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 613 263 238 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to Rápido Taller and I received an initial estimate of EUR 5768 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed.",0,Auto
C0003,"This claim is about water damage we discovered on Thursday morning in our home in Bilbao. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. SeguroDry provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. I understand an inspection or call might be required; Lucia from our side can also speak to what happened.",0,Home
C0004,"I'm filing a claim related to my spouse’s hospitalization and subsequent passing; this has been difficult to write. The diagnosis was confirmed at Clinica Horizonte and we have the discharge summary, treatment notes, and the attending physician’s report attached. The timeline is straightforward: initial symptoms in Thursday of last month, admission two days later, and the outcome the following week. Our family coordinated with the funeral home and all invoices are included; amounts remain within the policy limits. I’ve verified that the beneficiary information on file matches our notarized documents from earlier this year. We are ready to provide any additional medical authorizations you need and can be available for a call at your convenience. Please let me know if there is a preferred format for the hospital’s itemized bill so we can resend it cleanly. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again.",0,Life
C0005,"This claim is about water damage we discovered on Tuesday morning in our home in Seville. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. GreenOak Remodeling provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. I understand an inspection or call might be required; Elena from our side can also speak to what happened.",0,Home
C0006,"I'm reporting a traffic incident that happened on Sunday evening near Seville on the A-3. My car drifted slightly when a strong wind came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 733 920 594 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to Metro Bodyworks and I received an initial estimate of EUR 5465 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful.",0,Auto
C0007,"I'd like to file a claim for a minor crash I had 44 days ago near Coruña; I didn't report it right away because I thought it was nothing. It was a low-speed bump at a light on the AP-7 and I felt some neck stiffness later that week. I upgraded to comprehensive coverage about 15 days before this because my commute changed and I was advised to be safer. I took photos but my phone storage was full and I had to reinstall the camera app, so the pictures don't show location or time data anymore. A passerby, my aunt, said they saw the other vehicle, but they’ve been hard to reach since they started a new job. I visited Amber Medical a couple of times and paid in cash because their card machine was down; they said they can issue receipts later. The car is at Coastal Glass—I’ve used them before and they prepared an estimate very quickly with a similar format as last time. I couldn’t wait for the police due to work and left the scene after exchanging a first name only; I hope that’s okay. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. We tried to keep everything as documented as possible, though some details might be fuzzy because the situation was stressful. I understand an inspection or call might be required; Alex from our side can also speak to what happened.",1,Auto
C0008,"I'm reporting a traffic incident that happened on Tuesday evening near Zaragoza on the A-3. My car drifted slightly when a dense fog came through, and another driver clipped my rear bumper while changing lanes. I pulled over, took photos, and exchanged details; the other driver’s phone is +34 700 175 840 and we both waited for assistance. The damage is mostly on the rear quarter and bumper cover; the trunk opens but the alignment looks off. I have dashcam footage and the timestamp matches my phone GPS; I can provide both if needed. The vehicle was towed to Northside Collision and I received an initial estimate of EUR 6651 including parts and paint. I notified the police and obtained a brief report number from the officer at the scene. There were no injuries beyond some stiffness the next day; I used over-the-counter treatment and went to work as usual. I’m including a rough timeline so it’s easier to review, and I can clarify anything that seems out of order if needed. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer.",0,Auto
C0009,"I'd like to file a claim for a minor crash I had 33 days ago near Seville; I didn't report it right away because I thought it was nothing. It was a low-speed bump at a light on the A-3 and I felt some neck stiffness later that week. I upgraded to comprehensive coverage about 10 days before this because my commute changed and I was advised to be safer. I took photos but my phone storage was full and I had to reinstall the camera app, so the pictures don't show location or time data anymore. A passerby, my aunt, said they saw the other vehicle, but they’ve been hard to reach since they started a new job. I visited WellSpring Center a couple of times and paid in cash because their card machine was down; they said they can issue receipts later. The car is at Coastal Glass—I’ve used them before and they prepared an estimate very quickly with a similar format as last time. I couldn’t wait for the police due to work and left the scene after exchanging a first name only; I hope that’s okay. If you need me to resend photos or scans at a different resolution, I can do that once I’m back at a computer. I understand an inspection or call might be required; Rafa from our side can also speak to what happened.",1,Auto
C0010,"This claim is about water damage we discovered on Thursday morning in our home in Madrid. A supply line under the kitchen sink burst during the night, soaking the lower cabinets and part of the adjacent room. We shut off the main valve as soon as we noticed and called a plumber who replaced the cracked hose the same day. Photos and a short video were taken right away, and we also have the plumber’s invoice with the part numbers listed. The flooring has cupped and there is visible swelling on the toe-kick panels; a musty smell developed after two days. SeguroDry provided a drying plan with dehumidifiers and a detailed estimate for materials and labor. Our neighbors can confirm when we brought fans inside, and the condo manager logged the incident in the building record. We’re including measurements of the affected area and are ready to allow an inspection whenever convenient. If there’s a preferred claim number to reference, please let me know so I can label the files correctly before uploading again. I read through the policy last night and I believe this falls under the coverage section I highlighted in the PDF.",0,Home
