Client_ID,Description,Fraud_Label,Branch,Language
C0001,"El 15 de octubre, llegué a casa después de un largo día de trabajo y noté que había una fuga considerable en el techo de mi cocina. Para ese entonces, ya había cambiado mi póliza hace poco, solo unos meses atrás, y me sentía un poco ansioso sobre el proceso de reclamación. Al revisar, vi que tenía una copia de un presupuesto del año pasado que había hecho con un contratista que había estado en mi casa varias veces. Parecía que el daño podría ser significativo, así que llamé a un amigo que, por casualidad, trabaja en el mismo campo, pero no podía conseguir un momento para hablar. Le tomé fotos al daño, pero parece que no tienen fecha, lo cual podría ser un problema más adelante. Además, fui a una tienda local donde compré los materiales para la reparación y me dieron una factura escrita a mano, que ahora estoy empezando a dudar si será suficiente. Mi vecino se ofreció a ser testigo, aunque nunca ha estado presente cuando he hecho trabajos en casa. En total, estoy intentando recopilar toda la información necesaria, pero estoy preocupado porque he tenido problemas similares en el pasado. Espero que mi reclamación se procese sin complicaciones, aunque estos últimos eventos me hacen cuestionar si todo está en orden.",1,Home,es
C0002,"No dia 15 de setembro de 2023, acordei para encontrar a cozinha inundada devido a um vazamento no encanamento. A água havia escorrido por toda a área, danificando os armários e o piso. Imediatamente, chamei um encanador local, o senhor Carlos, que chegou rapidamente e me mostrou que o cano havia se rompido. Após o reparo, ele me forneceu uma fatura detalhada, que inclui o custo do material e da mão de obra. Eu também tirei várias fotos do local para documentar a extensão dos danos, que foram salvas no meu celular com data e hora. Além disso, fiz um relatório à seguradora no mesmo dia, anexando o orçamento do encanador e as imagens que capturei. Os armários danificados foram estimados para troca e a empresa de restauração que contactei me enviou uma proposta formal no dia 18 de setembro. Eu mantive todos os documentos, incluindo o relatório do encanador e a proposta da empresa de restauração, como referência para a minha reclamação. Espero que a situação possa ser resolvida rapidamente, pois a minha família e eu estamos preocupados com os danos e o que mais pode ocorrer se não tivermos uma solução. Minha apólice está em dia e inclui cobertura para danos causados por vazamentos de água, por isso acredito que estou coberto. Acredito que todas as informações que compilei ajudarão a agilizar o processo. Estou disposto a fornecer mais informações se necessário.",0,Home,pt
C0003,"El 15 de octubre de 2023, alrededor de las 3 p.m., estaba conduciendo mi coche por la Avenida Central en dirección al centro comercial cuando de repente perdí el control. Me fui hacia la acera, donde choqué contra un árbol. Aunque el impacto no fue extremadamente fuerte, mi vehículo sufrió daños considerables en la parte delantera. Decidí ir a un taller cercano, que ya había usado en otras ocasiones y que siempre me cobró en efectivo. Después del accidente, llamé a mi amigo Manuel para que fuera testigo. Sin embargo, él estaba fuera de la ciudad y no pudo llegar a tiempo, así que no tengo un respaldo para mi declaración. En el taller, me dijeron que las reparaciones costarían aproximadamente 2,000 euros y me entregaron un recibo que no tenía sello oficial, solo una nota escrita a mano. También actualicé mi cobertura a un nivel más alto el mes anterior, ya que había escuchado que eso podría ayudar en casos como este. He guardado todos los documentos que recibí, pero no estoy seguro de si el informe del accidente de la policía se generó correctamente, ya que solo lo tengo en formato digital. Espero que esto se resuelva pronto, ya que realmente necesito mi coche para ir al trabajo y hacer mis diligencias diarias. Además, el taller con el que estoy trabajando parece tener muchos clientes, pero me parece curioso que nunca me ofrecieran un presupuesto formal previo a la reparación.",1,Auto,es
C0004,"On Saturday, September 15th, 2023, I was driving home from the grocery store around 3 PM when I was involved in an accident. The weather was clear, and visibility was good. I had just made a left turn onto Maple Avenue when another vehicle ran a red light and collided with my car on the passenger side. I immediately pulled over to the side of the road, feeling shaken but mostly okay. I called the police to report the incident, and they arrived about 15 minutes later. They took my statement and noted the other driver's details in a police report, which I have a copy of. The other driver admitted fault at the scene, and their insurance information was exchanged. After the accident, I took my car to Smith's Auto Repair, which is known for its good service and has been around for years. They provided an estimate of $3,500 for the repairs, which I also kept a copy of. The repairs took about a week to complete, and I was able to keep track of all the receipts. I have documentation for everything and am hoping to proceed with my claim as soon as possible.",0,Auto,en
C0005,"El pasado 5 de octubre, alrededor de las 3 de la tarde, regresé a casa después de hacer algunas compras en el supermercado. Al abrir la puerta, noté que el aire dentro se sentía inusualmente húmedo. Cuando encendí la luz de la cocina, vi que el agua había comenzado a filtrarse del techo, donde había una mancha oscura que no había notado antes. Inmediatamente, tomé fotos de la situación y llamé a un fontanero de emergencia que me recomendó un amigo. El fontanero llegó a mi casa una hora después, y después de inspeccionar el área, me dijo que el problema provenía de una tubería rota en el piso de arriba. Pidió 200 euros por el servicio, y le pagué en efectivo porque tenía prisa por solucionarlo. Además, recogí todos los recibos del trabajo realizado y guardé los correos electrónicos intercambiados con el fontanero. También hice un informe policial debido a los daños, ya que la filtración afectó parte de la estructura de la casa. He vivido en esta propiedad durante tres años y nunca había tenido un problema así. La casa siempre ha sido bien cuidada y no tengo antecedentes de humedades previas. Espero que puedan ayudarme a cubrir los costos de la reparación y a restablecer mi hogar. En el futuro, planeo revisar el sistema de tuberías para evitar problemas similares. Agradezco de antemano su atención y espero su pronta respuesta.",0,Home,es
C0006,"El 15 de octubre de 2023, estaba conduciendo por la Avenida Principal en dirección a mi trabajo alrededor de las 8:30 de la mañana, cuando un vehículo que venía en sentido contrario se desvió y chocó contra mi lado del auto. Inmediatamente llamé a la policía, y llegaron al lugar en menos de diez minutos. Redactaron un informe que puedo proporcionar, donde se detalla la situación y la información del otro conductor. Después del accidente, fui a un taller cercano que tengo registrado desde hace tiempo, donde me dieron un presupuesto para las reparaciones que ascienden a $2,500. Las reparaciones se completaron el 20 de octubre, y tengo las facturas detalladas del taller con las fechas y la descripción de los trabajos realizados. Además, tomé varias fotos del daño en mi vehículo antes de que lo repararan, que también puedo enviar. Afortunadamente, no sufrí lesiones, pero mi auto quedó bastante dañado. Espero que esto ayude a procesar mi reclamación pronto.",0,Auto,es
C0007,"No dia 15 de agosto de 2023, eu estava dirigindo meu carro pela Avenida Brasil quando de repente ele começou a tremer muito e fez um barulho estranho. Eu parei em um mecânico que já tinha me ajudado algumas vezes antes, só que dessa vez ele estava com a agenda cheia. Acabei decidindo levar o carro para casa e pedir um amigo para me ajudar no dia seguinte, então não consegui tirar muitas fotos do carro imediatamente. No dia seguinte, entrei em contato com meu seguro para relatar o que aconteceu e eles pediram algumas informações. Fui até uma oficina que recomendada pelo seguro, mas, por coincidência, eu já havia usado eles várias vezes antes. Isso me deixou um pouco preocupado, mas não comentei. Após algumas semanas, o seguro me disse que eu precisava fornecer mais documentos, incluindo notas fiscais dos serviços realizados. As notas que apresentei foram todas feitas à mão, então tive que explicar isso. As conversas estavam todas por mensagens de texto, mas algumas estão perdidas devido a um problema no meu celular. Também solicitei um laudo do mecânico anterior, mas ele disse que não conseguiria enviar nada formal, já que não tinha anotações sobre meu carro naquele dia. O carro finalmente foi consertado, mas não tenho certeza se o trabalho foi feito corretamente. Essa experiência tem sido bem estressante e espero que tudo se resolva logo.",1,Auto,pt
C0008,"El 15 de octubre de 2023, alrededor de las 10:30 a.m., mientras conducía por la Avenida Principal en dirección al centro de la ciudad, tuve un accidente. Mi vehículo, un Toyota Corolla 2020, fue golpeado por otro coche que se saltó una luz roja en la intersección. Afortunadamente, no hubo heridos, pero mi coche sufrió daños considerables en la puerta del lado del conductor. Después del choque, llamé inmediatamente a la policía, quienes llegaron al lugar y tomaron un informe del incidente, el cual tengo en mis documentos. La compañía de seguros también fue notificada ese mismo día y me proporcionaron un número de reclamo. Además, he adjuntado las fotografías del vehículo dañado que tomé justo después del accidente, así como el recibo del taller donde llevé el coche para la reparación. Mi cita para la reparación fue el 18 de octubre y el taller me envió una factura detallada, que incluyo en la documentación. Espero que este reclamo se procese pronto, ya que los daños son considerables y necesito mi coche para ir al trabajo.",0,Auto,es
C0009,"On March 12, 2023, I returned home from work around 6 PM and immediately noticed that the living room carpet was damp. After further inspection, I discovered that water had pooled in several areas. I had been on vacation the previous week, and the plumbing seemed fine before I left. To find out what caused the issue, I called a plumber, who arrived the next day, March 13. He identified a leak in the main water line that required immediate repair. The plumber provided a detailed invoice showing the cost of repairs, which totaled $1,200. I also took several photos to document the damage and the repairs being done, timestamped from my phone. After the plumber fixed the leak, I contacted my insurance agent to file a claim. I submitted all necessary paperwork, including the invoices and photographs of the damage. The insurance representative informed me that a claims adjuster would visit my home on March 20 to assess the situation. Thankfully, the process was straightforward, and I appreciate their quick response. I've kept all communications and documents organized for reference if needed later.",0,Home,en
C0010,"Last month, on June 10th, I was driving home from a friend's house in Springfield when I lost control of my car on the way back, and it crashed into a nearby tree. I know it sounds odd, but it was a perfectly clear day—one of those sunny afternoons where everything feels just right. The accident happened around 5 PM, and I didn't think to take pictures at the scene since I was more focused on calling for help. I reported the incident to the police, and they gave me a case number (SP12345) which I can provide if needed. Interestingly, just a couple of weeks before the crash, I had upgraded my coverage, thinking it was a good idea given my recent road trip. Since then, I've been looking for a reliable body shop to get repairs done, but I've only heard of a place I used previously—I'm not sure if that's a good choice. The receipts they gave me after the last service were handwritten, but I figured that’s just how they operate. I really appreciate your understanding as I try to sort this out, and I hope everything checks out as I move forward with my claim.",1,Auto,en
